name,bmag,ks_mag,ks_mag_flag,distance,fuv_mag,halpha_mag,log_mass_26,log_h1_mass,ha_sfr,fuv_sfr
UGC04932,15.17,13.15,,20.6,17.06,,9.5,8.72,,0.03180050293683777
NGC4707,13.43,11.73,,5.8,15.16,17.66,8.9,7.95,0.009602714851850356,0.014506262597717813
UGC07267,14.79,11.94,C,12.9,16.5,18.79,9.4,8.58,0.016777122143227484,0.02088713955458736
UGC05047,16.0,13.0,C,19.68,,,9.35,8.12,,
UGC07950,14.6,12.12,,8.9,15.35,18.36,8.65,8.05,0.011866374734892828,0.028673424287884525
NGC5238,13.55,11.5,,4.51,15.3,17.01,8.28,7.42,0.01056552615640692,0.0077099689951883165
NGC4068,13.19,10.76,C,4.31,14.46,16.61,8.41,8.06,0.013947378476080482,0.015263498493232174
DDO092,15.6,13.2,C,9.9,16.05,,8.5,8.32,,0.018619582426893978
NGC5474,11.48,9.48,,7.2,13.0,15.47,9.12,9.04,0.11122515986068553,0.16344232842381703
HolmIV,13.76,11.04,,7.21,,17.35,9.08,8.35,0.019742792234450465,
KDG192,16.6,14.2,C,7.45,17.47,,8.52,7.88,,0.0028510976578171752
NGC5477,14.19,11.79,C,7.7,14.97,17.04,8.71,8.71,0.029958460772337946,0.03045657044853456
NGC3738,11.87,9.61,,4.9,13.87,15.88,9.06,8.0,0.0353126415326245,0.03396969972062115
KKH11,16.2,11.74,,3.0,,19.11,8.61,7.66,0.0006757414434931142,
Cepheus1,15.4,9.05,C,6.0,,19.31,9.46,9.05,0.0022482290053207703,
DDO194,14.52,11.87,C,8.02,16.81,21.03,8.94,8.11,0.0008239232957052919,0.006068037896378978
KKR59,15.7,9.57,C,5.89,,18.25,9.07,,0.005751334609274552,
KKH12,17.8,11.79,,3.0,,19.13,8.14,7.23,0.0006634077721627211,
DDO123,14.5,11.85,C,10.5,,,9.19,8.88,,
NGC5204,11.73,9.51,,4.66,13.02,15.01,9.49,8.6,0.07117211619987517,0.06721580143214893
Dw2,17.97,10.22,,3.0,,20.16,8.75,8.01,0.0002569097314704317,
IC0010,11.78,6.51,,0.66,,12.38,8.9,8.0,0.0160925888950979,
MB1,17.8,10.46,,3.0,,19.79,8.04,7.27,0.00036122729185888124,
KK251,16.5,12.98,C,5.89,,20.13,8.32,8.05,0.0010180488914157935,
UGC11583,15.9,12.3,C,5.89,,20.2,8.98,8.27,0.000954483961784454,
KK252,16.7,12.57,C,5.89,,20.85,8.73,7.04,0.0005245279504421166,
UGCA092,15.22,11.0,,3.01,,17.11,8.41,8.17,0.0042921119096464575,
NGC1569,11.79,7.5,,3.06,15.6,12.84,9.23,8.27,0.2264544705466828,0.002692417475823352
DDO087,15.15,11.86,,7.45,16.48,19.41,9.15,8.24,0.0031611899404316393,0.007095975270796016
UGC07242,14.6,12.18,C,5.42,16.2,19.42,8.26,7.68,0.001657817114746795,0.004860692204048181
UGC09992,15.4,12.9,C,7.3,16.62,19.06,8.35,8.02,0.004189708096032807,0.005988875268917754
DDO165,13.31,11.14,,4.57,14.7,18.74,8.41,8.04,0.002204806323946149,0.013757260089735867
NGC2976,11.01,7.53,,3.56,13.77,14.45,9.15,8.03,0.06957256924346326,0.019660725685281367
UGC04998,15.0,11.11,,8.24,18.44,19.54,9.01,7.04,0.0034307768361205816,0.0014274272102845803
NGC3077,10.62,7.32,,3.82,14.19,14.55,9.33,8.79,0.07305749408582846,0.015375394711995371
Cas1,15.29,9.34,,3.3,,17.16,8.73,8.11,0.004926811262262441,
HolmIX,14.53,11.86,C,3.61,15.63,19.04,8.53,8.4,0.001043644165599861,0.0036451378058954434
NGC2366,11.68,9.14,C,3.19,12.74,13.89,9.16,8.61,0.0935662904906894,0.04076438681202594
A0952+69,16.8,14.11,C,3.87,18.02,20.0,8.05,7.0,0.000495404532645914,0.0004635765700552374
UGC05423,14.42,11.99,,8.71,17.23,18.35,8.18,7.84,0.011470288879928224,0.004861114580155065
HolmII,11.1,8.0,,3.39,12.55,14.47,9.4,8.61,0.06193518542723821,0.05484018917341108
CamA,14.84,11.64,C,3.93,20.08,19.35,8.18,8.22,0.0009296578621871014,7.169430326667786e-05
