name,bmag,ks_mag,ks_mag_flag,distance,fuv_mag,halpha_mag,log_mass_26,log_h1_mass,ha_sfr,fuv_sfr,ra_deg,dec_deg,ebv_sfd,gal_b,low_gal_lat,A_B,A_Ks,bmag_dered,ks_mag_dered,BK_obs,BK_dered,deredden_suspect,high_foreground,very_blue
ESO318-013,14.97,12.07,C,6.5,16.91,,8.29,8.01,,0.0036351828527002,161.92333,-38.85367,0.07665708661079407,17.964518893801923,False,0.2779585960507393,0.023457068502902984,14.692041403949261,12.046542931497097,2.9000000000000004,2.6454984724521644,False,False,False
ESO348-009,14.81,12.41,C,11.5,16.37,19.29,9.07,8.64,0.0084126675415917,0.0187109237319956,357.3479102,-37.7737599,0.013019178062677383,-73.16955472072104,False,0.047207539655268194,0.003983868487179279,14.762792460344732,12.406016131512821,2.4000000000000004,2.356776328831911,False,False,False
ESO347-017,14.69,11.78,C,7.6,15.75,17.69,8.67,8.15,0.0160385547245764,0.0144652762635859,351.73421,-37.34692,0.016826486214995384,-69.48635366408895,False,0.061012839015573264,0.005148904781788587,14.628987160984426,11.77485109521821,2.91,2.854136065766216,False,False,False
ESO383-087,11.0,8.2,,3.45,13.69,15.21,8.36,7.88,0.0324471260479023,0.019876400453682,207.32296237969,-36.0635723551,0.0715864971280098,25.353626759327256,False,0.25957263858616353,0.021905468121170998,10.740427361413836,8.178094531878829,2.8000000000000007,2.5623328295350074,False,False,False
HIPASS J0905-36,17.4,13.38,C,7.93,23.0,,8.53,7.96,,1.9826493978971625e-05,136.5,-36.06,0.4173596203327179,7.479075365991046,True,1.513345983326435,0.12771204382181167,15.886654016673564,13.25228795617819,4.019999999999998,2.634366060495374,True,True,False
HIPASS J0607-34,14.09,11.5,,7.4,,18.01,9.07,8.09,0.0113240423587317,,91.8321,-34.20448611111112,0.03654088079929352,-23.39833085910358,False,0.1324972337782383,0.011181509524583817,13.957502766221761,11.488818490475417,2.59,2.4686842757463445,False,False,False
NGC2188,12.14,9.5,,7.4,,15.66,9.45,8.61,0.0986282858557569,,92.5412225,-34.1039355,0.03259824961423874,-22.80921730981418,False,0.11820125310122967,0.009975064381957053,12.02179874689877,9.490024935618044,2.6400000000000006,2.5317738112807273,False,False,False
ESO381-020,14.44,12.11,,5.45,15.6,17.04,8.79,8.37,0.015008284383376,0.0085406820107269,191.50279,-33.836940000000006,0.06565644592046738,29.021228358699645,False,0.2380702729076147,0.020090872451663015,14.201929727092384,12.089909127548337,2.33,2.1120205995440475,False,False,False
ESO373-007,16.4,13.52,C,8.3,19.48,,8.16,7.69,,0.000555719623212,143.1912723,-33.2474473,0.1318630576133728,13.398879527502613,False,0.4781354469060898,0.04035009562969208,15.92186455309391,13.479649904370307,2.879999999999999,2.4422146487236027,False,False,False
ESO364-029,13.67,10.27,,7.59,,17.13,9.23,8.38,0.0267930156368599,,91.43333333333334,-33.083333333333336,0.04520522058010101,-23.367631177046718,False,0.16391412982344628,0.01383279749751091,13.506085870176554,10.256167202502489,3.4000000000000004,3.2499186676740646,False,False,False
